经度,纬度,高程,公里标,
113.006548,37.99387583,3769.796,401,
113.006526,37.99389658,3769.8,404,
113.0065041,37.99391732,3769.803,407,
113.0064821,37.99393806,3769.807,410,
113.0064601,37.99395881,3769.811,413,
113.0064382,37.99397956,3769.815,416,
113.0064162,37.99400031,3769.818,419,
113.0063943,37.99402105,3769.822,422,
113.0063723,37.99404179,3769.826,425,
113.0063503,37.99406254,3769.83,429,
113.0063284,37.99408328,3769.833,432,
113.0063064,37.99410402,3769.837,435,
113.0062844,37.99412477,3769.841,438,
113.0062625,37.99414552,3769.845,441,
113.0062405,37.99416627,3769.848,444,
113.0062186,37.99418701,3769.852,447,
113.0061966,37.99420775,3769.856,450,
113.0061746,37.9942285,3769.86,453,
113.0061527,37.99424925,3769.863,456,
113.0061307,37.99426999,3769.867,459,
113.0061087,37.99429073,3769.871,462,
113.0060868,37.99431148,3769.875,465,
113.0060648,37.99433223,3769.878,468,
113.0060429,37.99435297,3769.882,471,
113.0060209,37.99437371,3769.886,474,
113.0059989,37.99439446,3769.89,477,
113.005977,37.99441521,3769.893,480,
113.005955,37.99443595,3769.897,483,
113.005933,37.99445669,3769.901,486,
113.0059111,37.99447744,3769.905,489,
113.0058891,37.99449819,3769.908,492,
113.0058672,37.99451893,3769.912,495,
113.0058452,37.99453968,3769.916,498,
113.0058232,37.99456042,3769.92,502,
113.0058013,37.99458117,3769.923,505,
113.0057793,37.99460191,3769.927,508,
113.0057573,37.99462265,3769.931,511,
113.0057354,37.9946434,3769.935,514,
113.0057134,37.99466415,3769.938,517,
113.0056915,37.9946849,3769.942,520,
113.0056695,37.99470564,3769.946,523,
113.0056475,37.99472638,3769.95,526,
113.0056256,37.99474713,3769.953,529,
113.0056036,37.99476787,3769.957,532,
113.0055816,37.99478861,3769.961,535,
113.0055597,37.99480936,3769.965,538,
113.0055377,37.99483011,3769.969,541,
113.0055158,37.99485086,3769.972,544,
113.0054938,37.9948716,3769.976,547,
113.0054718,37.99489234,3769.98,550,
113.0054499,37.99491309,3769.983,553,
113.0054279,37.99493383,3769.987,556,
113.005406,37.99495458,3769.991,559,
113.005384,37.99497532,3769.995,562,
113.005362,37.99499607,3769.999,565,
113.0053401,37.99501681,3770.002,568,
113.0053181,37.99503756,3770.006,571,
113.0052961,37.9950583,3770.01,574,
113.0052742,37.99507904,3770.013,578,
113.0052522,37.9950998,3770.017,581,
113.0052303,37.99512054,3770.021,584,
113.0052083,37.99514128,3770.025,587,
113.0051863,37.99516203,3770.029,590,
113.0051644,37.99518277,3770.032,593,
113.0051424,37.99520352,3770.036,596,
113.0051204,37.99522427,3770.04,599,
113.0050985,37.99524501,3770.043,602,
113.0050765,37.99526575,3770.047,605,
113.0050546,37.9952865,3770.051,608,
113.0050326,37.99530724,3770.055,611,
113.0050106,37.99532799,3770.059,614,
113.0049887,37.99534873,3770.062,617,
113.0049667,37.99536948,3770.066,620,
113.0049447,37.99539023,3770.07,623,
113.0049228,37.99541097,3770.073,626,
113.0049008,37.99543171,3770.077,629,
113.0048789,37.99545246,3770.081,632,
113.0048569,37.9954732,3770.085,635,
113.0048349,37.99549395,3770.089,638,
113.004813,37.9955147,3770.092,641,
113.004791,37.99553544,3770.096,644,
113.004769,37.99555619,3770.1,647,
113.0047471,37.99557693,3770.104,650,
113.0047251,37.99559767,3770.107,654,
113.0047032,37.99561842,3770.111,657,
113.0046812,37.99563917,3770.115,660,
113.0046592,37.99565992,3770.119,663,
113.0046373,37.99568066,3770.122,666,
113.0046153,37.9957014,3770.126,669,
113.0045933,37.99572215,3770.13,672,
113.0045714,37.99574289,3770.134,675,
113.0045494,37.99576363,3770.137,678,
113.0045275,37.99578438,3770.141,681,
113.0045055,37.99580513,3770.145,684,
113.0044835,37.99582588,3770.149,687,
113.0044616,37.99584662,3770.152,690,
113.0044396,37.99586736,3770.156,693,
113.0044176,37.99588811,3770.16,696,
113.0043957,37.99590885,3770.164,699,
113.0043737,37.9959296,3770.167,702,
113.0043518,37.99595035,3770.171,705,
113.0043298,37.99597109,3770.175,708,
113.0043078,37.99599184,3770.179,711,
113.0042859,37.99601258,3770.182,714,
113.0042639,37.99603332,3770.186,717,
113.0042419,37.99605407,3770.19,720,
113.00422,37.99607482,3770.194,723,
113.004198,37.99609556,3770.198,726,
113.0041761,37.99611631,3770.201,730,
113.0041541,37.99613705,3770.205,733,
113.0041321,37.99615779,3770.209,736,
113.0041102,37.99617854,3770.212,739,
113.0040882,37.99619929,3770.216,742,
113.0040663,37.99622003,3770.22,745,
113.0040443,37.99624078,3770.224,748,
113.0040223,37.99626152,3770.228,751,
113.0040004,37.99628227,3770.231,754,
113.0039784,37.99630301,3770.235,757,
113.0039564,37.99632375,3770.239,760,
113.0039345,37.9963445,3770.242,763,
113.0039125,37.99636525,3770.246,766,
113.0038906,37.99638599,3770.25,769,
113.0038686,37.99640674,3770.254,772,
113.0038466,37.99642748,3770.258,775,
113.0038247,37.99644823,3770.261,778,
113.0038027,37.99646897,3770.265,781,
113.0037807,37.99648972,3770.269,784,
113.0037588,37.99651046,3770.272,787,
113.0037368,37.99653121,3770.276,790,
113.0037149,37.99655196,3770.28,793,
113.0036929,37.9965727,3770.284,796,
113.0036709,37.99659344,3770.288,799,
113.003649,37.99661419,3770.291,803,
113.003627,37.99663494,3770.295,806,
113.003605,37.99665568,3770.299,809,
113.0035831,37.99667642,3770.302,812,
113.0035611,37.99669717,3770.306,815,
113.0035392,37.99671792,3770.31,818,
113.0035172,37.99673866,3770.314,821,
113.0034952,37.99675941,3770.318,824,
113.0034733,37.99678015,3770.321,827,
113.0034513,37.9968009,3770.325,830,
113.0034293,37.99682165,3770.329,833,
113.0034074,37.99684239,3770.333,836,
113.0033854,37.99686313,3770.336,839,
113.0033635,37.99688388,3770.34,842,
113.0033415,37.99690463,3770.344,845,
113.0033195,37.99692537,3770.348,848,
113.0032976,37.99694611,3770.351,851,
113.0032756,37.99696686,3770.355,854,
113.0032536,37.99698761,3770.359,857,
113.0032317,37.99700835,3770.363,860,
113.0032097,37.99702909,3770.366,863,
113.0031878,37.99704984,3770.37,866,
113.0031658,37.99707059,3770.374,869,
113.0031438,37.99709133,3770.378,872,
113.0031219,37.99711208,3770.381,875,
113.0030999,37.99713282,3770.385,879,
113.0030779,37.99715356,3770.389,882,
113.003056,37.99717432,3770.393,885,
113.003034,37.99719506,3770.396,888,
113.0030121,37.9972158,3770.4,891,
113.0029901,37.99723655,3770.404,894,
113.0029681,37.99725729,3770.408,897,
113.0029462,37.99727804,3770.411,900,
113.0029242,37.99729878,3770.415,903,
113.0029023,37.99731953,3770.419,906,
113.0028803,37.99734027,3770.423,909,
113.0028583,37.99736102,3770.427,912,
113.0028364,37.99738177,3770.43,915,
113.0028144,37.99740251,3770.434,918,
113.0027924,37.99742325,3770.438,921,
113.0027705,37.997444,3770.441,924,
113.0027485,37.99746475,3770.445,927,
113.0027266,37.99748549,3770.449,930,
113.0027046,37.99750623,3770.453,933,
113.0026826,37.99752698,3770.457,936,
113.0026607,37.99754773,3770.46,939,
113.0026387,37.99756847,3770.464,942,
113.0026167,37.99758922,3770.468,945,
113.0025948,37.99760996,3770.471,948,
113.0025728,37.99763071,3770.475,951,
113.0025508,37.99765146,3770.479,955,
113.0025289,37.9976722,3770.483,958,
113.0025069,37.99769294,3770.486,961,
113.002485,37.99771369,3770.49,964,
113.002463,37.99773444,3770.494,967,
113.002441,37.99775518,3770.498,970,
113.0024191,37.99777592,3770.501,973,
113.0023971,37.99779667,3770.505,976,
113.0023751,37.99781742,3770.509,979,
113.0023532,37.99783816,3770.513,982,
113.0023312,37.9978589,3770.516,985,
113.0023093,37.99787965,3770.52,988,
113.0022873,37.9979004,3770.524,991,
113.0022653,37.99792114,3770.528,994,
113.0022434,37.99794189,3770.531,997,
113.0022214,37.99796263,3770.535,1000,
113.0021994,37.99798337,3770.539,1003,
113.0021775,37.99800412,3770.543,1006,
113.0021555,37.99802487,3770.546,1009,
113.0021336,37.99804562,3770.55,1012,
113.0021116,37.99806636,3770.554,1015,
113.0020896,37.9980871,3770.558,1018,
113.0020677,37.99810785,3770.562,1021,
113.0020457,37.99812859,3770.565,1024,
113.0020238,37.99814934,3770.569,1027,
113.0020018,37.99817008,3770.573,1031,
113.0019798,37.99819083,3770.576,1034,
113.0019579,37.99821158,3770.58,1037,
113.0019359,37.99823232,3770.584,1040,
113.0019139,37.99825306,3770.588,1043,
113.001892,37.99827381,3770.592,1046,
113.00187,37.99829456,3770.595,1049,
113.0018481,37.99831531,3770.599,1052,
113.0018261,37.99833605,3770.603,1055,
113.0018041,37.99835679,3770.606,1058,
113.0017822,37.99837754,3770.61,1061,
113.0017602,37.99839828,3770.614,1064,
113.0017382,37.99841902,3770.618,1067,
113.0017163,37.99843978,3770.622,1070,
113.0016943,37.99846052,3770.625,1073,
113.0016724,37.99848127,3770.629,1076,
113.0016504,37.99850201,3770.633,1079,
113.0016284,37.99852275,3770.636,1082,
113.0016065,37.9985435,3770.64,1085,
113.0015845,37.99856425,3770.644,1088,
113.0015625,37.998585,3770.648,1091,
113.0015406,37.99860574,3770.652,1094,
113.0015186,37.99862648,3770.655,1097,
113.0014967,37.99864723,3770.659,1100,
113.0014747,37.99866797,3770.663,1103,
113.0014527,37.99868872,3770.667,1107,
113.0014308,37.99870947,3770.67,1110,
113.0014088,37.99873021,3770.674,1113,
113.0013868,37.99875095,3770.678,1116,
113.0013649,37.9987717,3770.682,1119,
113.0013429,37.99879244,3770.685,1122,
113.0013209,37.99881319,3770.689,1125,
113.001299,37.99883393,3770.693,1128,
113.001277,37.99885468,3770.697,1131,
113.0012551,37.99887543,3770.7,1134,
113.0012331,37.99889617,3770.704,1137,
113.0012111,37.99891691,3770.708,1140,
113.0011892,37.99893766,3770.712,1143,
113.0011672,37.99895841,3770.715,1146,
113.0011453,37.99897916,3770.719,1149,
113.0011233,37.9989999,3770.723,1152,
113.0011013,37.99902064,3770.727,1155,
113.0010794,37.99904139,3770.73,1158,
113.0010574,37.99906214,3770.734,1161,
113.0010354,37.99908288,3770.738,1164,
113.0010135,37.99910362,3770.742,1167,
113.0009915,37.99912437,3770.745,1170,
113.0009696,37.99914512,3770.749,1173,
113.0009476,37.99916586,3770.753,1176,
113.0009256,37.99918661,3770.757,1179,
113.0009037,37.99920735,3770.76,1183,
113.0008817,37.9992281,3770.764,1186,
113.0008597,37.99924884,3770.768,1189,
113.0008378,37.99926959,3770.772,1192,
113.0008158,37.99929034,3770.775,1195,
113.0007938,37.99931108,3770.779,1198,
113.0007719,37.99933183,3770.783,1201,
113.0007499,37.99935257,3770.787,1204,
113.000728,37.99937331,3770.791,1207,
113.000706,37.99939406,3770.794,1210,
113.000684,37.99941481,3770.798,1213,
113.0006621,37.99943555,3770.802,1216,
113.0006401,37.9994563,3770.805,1219,
113.0006181,37.99947704,3770.809,1222,
113.0005962,37.99949778,3770.813,1225,
113.0005742,37.99951853,3770.817,1228,
113.0005523,37.99953928,3770.821,1231,
113.0005303,37.99956003,3770.824,1234,
113.0005083,37.99958077,3770.828,1237,
113.0004864,37.99960151,3770.832,1240,
113.0004644,37.99962226,3770.835,1243,
113.0004424,37.99964301,3770.839,1246,
113.0004205,37.99966375,3770.843,1249,
113.0003985,37.9996845,3770.847,1252,
113.0003766,37.99970524,3770.851,1255,
113.0003546,37.99972599,3770.854,1259,X2
